"station_id";"name";"latitude";"longitude";"type";"charging_speed";"charging_per_kwh"
9232;"Av. Nossa Sr.ª de Fátima";39.7391;-8.80232;"Type2";"3.7kW";"N/A"
9233;"R. Ascenção (Pousos)";39.7341;-8.79765;"Type2";"3.7kW";"N/A"
9234;"N117 Alfrangide";38.7271;-9.21843;"Schuko";"3.7kW";"N/A"
9237;"C.C.Vasco da Gama";38.767;-9.09651;"Schuko";"3.7kW";"N/A"
9238;"Corte Inglés Lisboa";38.7314;-9.15249;"Type2";"3.7kW";"N/A"
9239;"Av. Torre de Belém";38.6948;-9.21509;"Schuko";"3.7kW";"N/A"
9240;"Doca do Bom Sucesso";38.6935;-9.21346;"Schuko";"3.7kW";"N/A"
9241;"R. Gregório Lopes";38.7111;-9.21368;"Schuko";"3.7kW";"N/A"
9242;"Praça do Império";38.6967;-9.20905;"Schuko";"3.7kW";"N/A"
9243;"Av. Ilha da Madeira";38.7069;-9.20827;"Schuko";"3.7kW";"N/A"
9244;"R. Gonçalves Zarco";38.7033;-9.20668;"Schuko";"3.7kW";"N/A"
9245;"R. Tristão Vaz";38.7076;-9.20599;"Type2";"3.7kW";"N/A"
9246;"R. Jorge Barradas";38.7562;-9.203;"Schuko";"3.7kW";"N/A"
9247;"Alameda Pe. Álvaro Proença";38.7489;-9.20278;"Schuko";"3.7kW";"N/A"
9248;"Av. Universidade Técnica";38.7137;-9.19769;"Type2";"3.7kW";"N/A"
9249;"Largo da Boa-Hora à Ajuda";38.7039;-9.19397;"Schuko";"3.7kW";"N/A"
9250;"Av. de Brasília";38.6971;-9.18779;"Schuko";"3.7kW";"N/A"
9251;"R. Paulo Renato";38.7486;-9.19036;"Schuko";"3.7kW";"N/A"
9252;"Calçada da Tapada";38.7059;-9.18645;"Schuko";"3.7kW";"N/A"
9253;"Av. do Colégio Militar";38.7585;-9.18528;"Type2";"3.7kW";"N/A"
9254;"Estrada do Alvito";38.7194;-9.18569;"Type2";"3.7kW";"N/A"
9255;"R. Pedro Calmon";38.7044;-9.18536;"Schuko";"3.7kW";"N/A"
9256;"R. João Morais Barbosa";38.7679;-9.18381;"Schuko";"3.7kW";"N/A"
9257;"R. Conde de Almoster";38.7445;-9.18306;"Schuko";"3.7kW";"N/A"
9258;"Travessa do Conde da Ponte";38.6996;-9.18097;"Type2";"3.7kW";"N/A"
9259;"R. Poeta Bocage";38.7637;-9.18008;"Type2";"3.7kW";"N/A"
9260;"R. Fernando Pessoa";38.757;-9.09857;"Type2";"3.7kW";"N/A"
9261;"R. D. João II";38.7781;-9.09753;"Schuko";"3.7kW";"N/A"
9262;"R. do Pólo Norte/Av.Indico";38.7699;-9.09643;"Type2";"3.7kW";"N/A"
9263;"R. do Bojador";38.7724;-9.09265;"Type2";"3.7kW";"N/A"
9264;"R. Pedro e Inês";38.7607;-9.09519;"Schuko";"3.7kW";"N/A"
9265;"R. do Bojador";38.769;-9.0923;"Schuko";"3.7kW";"N/A"
9266;"Alameda dos Oceanos";38.7757;-9.09526;"Schuko";"3.7kW";"N/A"
9267;"Av. Liverbade";38.7206;-9.14647;"Schuko";"3.7kW";"N/A"
9268;"Av. do Mediterrâneo";38.7629;-9.09694;"Schuko";"3.7kW";"N/A"
9269;"Pass Baltico";38.7668;-9.09851;"Type2";"3.7kW";"N/A"
9270;"R. do Pólo Sul";38.7651;-9.09682;"Schuko";"3.7kW";"N/A"
9271;"R. Ilha dos Amores";38.7802;-9.09352;"Type2";"3.7kW";"N/A"
9273;"Alameda dos Oceanos";38.7778;-9.0954;"Type2";"3.7kW";"N/A"
9274;"R. dos Aventureiros";38.7576;-9.09476;"Type2";"3.7kW";"N/A"
9275;"R. João de Freitas Branco";38.7509;-9.18028;"Schuko";"3.7kW";"N/A"
9276;"Caminho das Pedreiras";38.7347;-9.1797;"Schuko";"3.7kW";"N/A"
9277;"R. Leão de Oliveira";38.7052;-9.17881;"Type2";"3.7kW";"N/A"
9278;"R. José Dias Coelho";38.706;-9.17754;"Schuko";"3.7kW";"N/A"
9279;"Estrada Barcal";38.7408;-9.1866;"Type2";"3.7kW";"N/A"
9280;"R. António Macedo";38.7392;-9.1775;"Schuko";"3.7kW";"N/A"
9281;"Azinhaga da Torre do Fato";38.7694;-9.17665;"Schuko";"3.7kW";"N/A"
9282;"Largo das Necessidades";38.7069;-9.1716;"Type2";"3.7kW";"N/A"
9283;"R. Prof. Queiroz Veloso";38.7645;-9.17154;"Type2";"3.7kW";"N/A"
9284;"R. Fernando Lopes Graça";38.7691;-9.17185;"Schuko";"3.7kW";"N/A"
9285;"R. José Escada";38.7595;-9.17014;"Schuko";"3.7kW";"N/A"
9286;"R. Prof. Manuel Viegas Guerreiro";38.7717;-9.16978;"Schuko";"3.7kW";"N/A"
9287;"R. Padre Francisco";38.7155;-9.16821;"Schuko";"3.7kW";"N/A"
9288;"Praça Afonso do Paço";38.7201;-9.16677;"Type2";"3.7kW";"N/A"
9289;"R. Prof. Vieira de Almeida";38.7613;-9.16668;"Schuko";"3.7kW";"N/A"
9290;"Calçada dos Mestres";38.7268;-9.16559;"Type2";"3.7kW";"N/A"
9291;"Av. Estados Unidos da América";38.749;-9.13818;"Schuko";"3.7kW";"N/A"
9292;"R. do Arco do Carvalhão";38.7251;-9.16394;"Type2";"3.7kW";"N/A"
9293;"Av. Marechal Craveiro Lopes";38.7594;-9.15442;"Type2";"3.7kW";"N/A"
9294;"R. Marquês de Fronteira";38.7274;-9.16333;"Schuko";"3.7kW";"N/A"
9295;"Jardim 9 de Abril";38.7043;-9.16234;"Type2";"3.7kW";"N/A"
9296;"R. Domingos Sequeira";38.7153;-9.16364;"Type2";"3.7kW";"N/A"
9297;"R. Cordeiro Ferreira";38.7722;-9.16042;"Schuko";"3.7kW";"N/A"
9298;"Alameda das Linhas de Torres";38.7695;-9.15932;"Type2";"3.7kW";"N/A"
9299;"R. Gorgel do Amaral";38.7218;-9.15895;"Type2";"3.7kW";"N/A"
9300;"Rua da Mesquita";38.7354;-9.15838;"Schuko";"3.7kW";"N/A"
9301;"R. Marquês de Fronteira";38.7313;-9.15618;"Type2";"3.7kW";"N/A"
9302;"Av. de Berna";38.7379;-9.15613;"Type2";"3.7kW";"N/A"
9303;"Av. Maria Helena Vieira da Silva";38.7664;-9.15578;"Schuko";"3.7kW";"N/A"
9304;"Largo de Santos";38.7075;-9.15436;"Schuko";"3.7kW";"N/A"
9305;"R. Manuel Marques";38.7649;-9.15378;"Type2";"3.7kW";"N/A"
9306;"Av. D Carlos I";38.7095;-9.15331;"Type2";"3.7kW";"N/A"
9307;"Av. Sidónio Pais";38.7315;-9.1526;"Type2";"3.7kW";"N/A"
9308;"R. Sanches Coelho";38.7476;-9.15146;"Type2";"3.7kW";"N/A"
9310;"Av. 24 de Julho";38.7067;-9.15092;"Schuko";"3.7kW";"N/A"
9311;"Campo Grande";38.7496;-9.15001;"Type2";"3.7kW";"N/A"
9312;"Av. Elias Garcia";38.7388;-9.14958;"Type2";"3.7kW";"N/A"
9313;"R. Pedro Nunes";38.7331;-9.14774;"Type2";"3.7kW";"N/A"
9314;"R. Dom Luís I";38.7075;-9.14798;"Type2";"3.7kW";"N/A"
9315;"R. de O Século";38.7126;-9.14757;"Schuko";"3.7kW";"N/A"
9316;"Av. da República";38.7411;-9.14679;"Type2";"3.7kW";"N/A"
9317;"R. Aprígio Mafra";38.7566;-9.14415;"Schuko";"3.7kW";"N/A"
9318;"Cais do Sodré";38.706;-9.14339;"Type2";"3.7kW";"N/A"
9319;"Campo das Amoreiras";38.7861;-9.14252;"Type2";"3.7kW";"N/A"
9320;"R. António Maria Cardoso";38.7097;-9.14243;"Schuko";"3.7kW";"N/A"
